Date Time,Temperature,Basel Relative Humidity,Basel Wind Speed [10 m]
20090109T0400,-4.1394715,96,2.5132127
20090109T0500,-4.2694716,96,2.4560866
20090109T0600,-7.7394714,86,4.765508
20090109T0700,-7.9394712,91,1.506986
20090109T0800,-7.9194713,94,1.9210378
20090109T0900,-7.9294715,92,2.1477854
20090109T1000,-7.2494717,92,0.79920006
20090109T1100,-5.1794715,87,2.5132127
20090109T1200,-3.9094715,85,6.1963058
20090109T1300,-1.6194713,75,12.664511
20090109T1400,0.5205287,70,15.34057
20090109T1500,1.4905287,69,15.636112
20090109T1600,1.5905286,72,14.015779
20090109T1700,0.9505287,79,9.889148
20090109T1800,-0.29947135,88,6.4433565
20090109T1900,-1.6494713,92,3.767465
20090109T2000,-3.3994715,86,1.6848617
20090109T2100,-4.1394715,83,2.1967907
20090109T2200,-4.1394715,92,1.5984001
20090109T2300,-4.3594713,93,0.3767465
20090110T0000,-4.5994716,94,1.4346079
20090110T0100,-5.0794716,99,1.3583788
20090110T0200,-5.2894716,95,3.2189233
20090110T0300,-5.3994713,95,4.765508
20090110T0400,-5.1094713,94,5.9568853
20090110T0500,-3.7894714,88,8.823432
20090110T0600,-6.2694716,92,3.2518265
20090110T0700,-6.6894712,96,1.6848617
20090110T0800,-6.8394713,96,1.4346079
20090110T0900,-6.9994717,95,1.191377
20090110T1000,-6.8194714,93,0.84243083
20090110T1100,-4.0394716,92,3.207881
20090110T1200,-2.1894715,83,7.2713056
20090110T1300,0.22052866,72,11.131568
20090110T1400,1.4605286,69,11.79403
20090110T1500,2.5005286,68,11.380612
20090110T1600,2.8305285,70,10.555628
20090110T1700,1.9605286,82,8.528962
20090110T1800,0.6305287,81,8.411661
20090110T1900,-0.69947135,89,8.827452
20090110T2000,-1.4494714,90,7.0078893
20090110T2100,-2.2794714,94,4.4097047
20090110T2200,-3.0094714,100,2.382754
20090110T2300,-3.1394715,97,2.742756
20090111T0000,-3.1094716,97,3.207881
20090111T0100,-3.5494714,96,4.4337797
20090111T0200,-4.0394716,96,4.5288
20090111T0300,-4.1394715,96,4.652476
20090111T0400,-4.1494713,96,3.9603205
20090111T0500,-4.5094714,96,3.5741313
20090111T0600,-2.8394713,64,1.0983953
20090111T0700,-3.0694714,65,1.4346079
20090111T0800,-2.9094715,64,2.8318708
20090111T0900,-2.8494716,64,5.619714
20090111T1000,-2.8294713,64,6.6600003
20090111T1100,-2.8594716,78,5.651197
20090111T1200,-1.3394713,83,6.3322554
20090111T1300,0.7505287,78,6.791894
20090111T1400,2.1905286,73,5.5943995
20090111T1500,3.0605285,73,4.912173
20090111T1600,3.5205286,74,5.5434246
20090111T1700,3.3605285,77,5.4919763
20090111T1800,2.9605286,72,6.1503215
20090111T1900,1.8605287,79,5.6449146
20090111T2000,0.79052866,85,5.1450386
20090111T2100,-0.41947132,88,4.652476
20090111T2200,-1.6194713,91,6.7394466
20090111T2300,-1.9494714,89,7.5066204
20090112T0000,-1.8494713,82,8.823432
20090112T0100,-2.0394714,76,10.248612
20090112T0200,-2.2094715,69,10.84415
20090112T0300,-2.3994715,68,10.84415
20090112T0400,-2.7594714,71,10.248612
20090112T0500,-3.3194714,73,8.823432
20090112T0600,-3.0294714,69,3.9333487
20090112T0700,-2.7194715,67,5.485512
20090112T0800,-2.4594715,66,6.354631
20090112T0900,-2.6694715,66,6.874978
20090112T1000,-2.6494715,66,7.0331616
20090112T1100,-2.1594715,76,7.401894
20090112T1200,-1.0194713,78,7.2713056
20090112T1300,1.0005287,82,5.6449146
20090112T1400,2.2905285,80,6.7394466
20090112T1500,3.5305285,80,6.828368
20090112T1600,4.0705285,84,6.443357
20090112T1700,3.9905286,85,8.673356
20090112T1800,4.4805284,81,10.883345
20090112T1900,4.0505285,78,12.523633
20090112T2000,4.3705287,52,9.686122
20090112T2100,3.8705285,40,8.710098
20090112T2200,4.0705285,51,7.996438
20090112T2300,4.0905285,49,8.343893
20090113T0000,2.6905286,52,8.343893
20090113T0100,1.4305286,66,9.197554
20090113T0200,1.9705287,65,9.369556
20090113T0300,2.6605287,60,9.304952
20090113T0400,3.0805285,58,8.855546
20090113T0500,3.1105285,58,8.512303
20090113T0600,1.4905287,65,10.248612
20090113T0700,2.2405286,57,9.914233
20090113T0800,2.7805285,55,9.236053
20090113T0900,2.4805286,59,8.935328
20090113T1000,1.5505286,65,7.1730394
20090113T1100,1.0005287,72,5.8182635
20090113T1200,1.1005287,82,5.8182635
20090113T1300,2.8805285,83,4.652476
20090113T1400,4.2805285,83,4.976763
20090113T1500,5.4705286,84,7.078424
20090113T1600,6.290529,86,7.5771956
20090113T1700,6.5505285,84,7.8892193
20090113T1800,6.4805284,85,9.014403
20090113T1900,5.6105285,89,9.448753
20090113T2000,4.7705283,80,9.605188
20090113T2100,3.3005285,77,8.607647
20090113T2200,2.0105286,86,7.670285
20090113T2300,1.6205287,88,7.421045
20090114T0000,1.5605286,87,6.236264
20090114T0100,0.93052864,87,7.078424
20090114T0200,1.4905287,83,7.1730394
20090114T0300,1.7305287,82,6.791894
20090114T0400,1.1805286,82,6.236264
20090114T0500,1.2405287,80,6.080693
20090114T0600,0.99052864,62,6.791894
20090114T0700,1.1005287,60,5.124306
20090114T0800,0.73052865,62,4.897704
